Talent Build,Count,Percentage,Talent Calculator URL
BcQAAAAAAAAAAAAAAAAAAAAAAIRSaRCiIhIJJUSkAAAAAAAAAAAAAQJCRIRLEFIlkkUAUSkEA,117,15.87516960651289,https://www.wowhead.com/talent-calc/blizzard/BcQAAAAAAAAAAAAAAAAAAAAAAIRSaRCiIhIJJUSkAAAAAAAAAAAAAQJCRIRLEFIlkkUAUSkEA
BcQAAAAAAAAAAAAAAAAAAAAAAIJJpEJISSISCUSkAAAAAAAAAAAAAQJCRIhQUQSJJJFAlEJBA,108,14.654002713704205,https://www.wowhead.com/talent-calc/blizzard/BcQAAAAAAAAAAAAAAAAAAAAAAIJJpEJISSISCUSkAAAAAAAAAAAAAQJCRIhQUQSJJJFAlEJBA
BcQAAAAAAAAAAAAAAAAAAAAAAIJJpEJISSISCUSkAAAAAAAAAAAAAQJCRIRLEFIlkkUAUSkEA,91,12.347354138398913,https://www.wowhead.com/talent-calc/blizzard/BcQAAAAAAAAAAAAAAAAAAAAAAIJJpEJISSISCUSkAAAAAAAAAAAAAQJCRIRLEFIlkkUAUSkEA
BcQAAAAAAAAAAAAAAAAAAAAAAIRSKRCikEikIUSkAAAAAAAAAAAAAQJCRIRLEFIlkkUAUSkEA,85,11.533242876526458,https://www.wowhead.com/talent-calc/blizzard/BcQAAAAAAAAAAAAAAAAAAAAAAIRSKRCikEikIUSkAAAAAAAAAAAAAQJCRIRLEFIlkkUAUSkEA
BcQAAAAAAAAAAAAAAAAAAAAAAIJJpEJISSISCUSkAAAAAAAAAAAAAQJCRIhUEFIlkkUAUSkEA,71,9.633649932157395,https://www.wowhead.com/talent-calc/blizzard/BcQAAAAAAAAAAAAAAAAAAAAAAIJJpEJISSISCUSkAAAAAAAAAAAAAQJCRIhUEFIlkkUAUSkEA
BcQAAAAAAAAAAAAAAAAAAAAAAIRSKRCIJhIJJUSkAAAAAAAAAAAAAQJCRIRLEFIlkkUAUSkEA,69,9.362279511533243,https://www.wowhead.com/talent-calc/blizzard/BcQAAAAAAAAAAAAAAAAAAAAAAIRSKRCIJhIJJUSkAAAAAAAAAAAAAQJCRIRLEFIlkkUAUSkEA
BcQAAAAAAAAAAAAAAAAAAAAAAIRSKRCCJhIJJUSkAAAAAAAAAAAAAQJCRIRLEFIlkkUAUSkEA,61,8.276797829036635,https://www.wowhead.com/talent-calc/blizzard/BcQAAAAAAAAAAAAAAAAAAAAAAIRSKRCCJhIJJUSkAAAAAAAAAAAAAQJCRIRLEFIlkkUAUSkEA
BcQAAAAAAAAAAAAAAAAAAAAAAIRSKRCikEikIUSkAAAAAAAAAAAAAQJCRIhUEFIlkkUAUSkEA,54,7.327001356852103,https://www.wowhead.com/talent-calc/blizzard/BcQAAAAAAAAAAAAAAAAAAAAAAIRSKRCikEikIUSkAAAAAAAAAAAAAQJCRIhUEFIlkkUAUSkEA
BcQAAAAAAAAAAAAAAAAAAAAAAIJJpEJISSISCUSkAAAAAAAAAAAAAQJCRIJCRBSJJJFAlEJBA,48,6.512890094979647,https://www.wowhead.com/talent-calc/blizzard/BcQAAAAAAAAAAAAAAAAAAAAAAIJJpEJISSISCUSkAAAAAAAAAAAAAQJCRIJCRBSJJJFAlEJBA
BcQAAAAAAAAAAAAAAAAAAAAAAIJJpEJISSISCUSkAAAAAAAAAAAAAQJCRIhQUgUSSSBoUSkEA,33,4.477611940298507,https://www.wowhead.com/talent-calc/blizzard/BcQAAAAAAAAAAAAAAAAAAAAAAIJJpEJISSISCUSkAAAAAAAAAAAAAQJCRIhQUgUSSSBoUSkEA
